seed,step
2481,11
2482,5
2483,9
2484,5
2485,2
2486,16
2487,3
2488,28
2489,7
2490,1
2491,15
2492,2
2493,6
2494,3
2495,7
2496,7
2497,8
2498,8
2499,44
2500,8
2501,14
2502,4
2503,11
2504,19
2505,1
2506,4
2507,5
2508,2
2509,8
2510,17
2511,1
2512,1
2513,16
2514,7
2515,6
2516,1
2517,3
2518,4
2519,3
2520,15
2521,30
2522,8
2523,3
2524,18
2525,6
2526,9
2527,4
2528,9
2529,1
2530,1
2531,8
2532,48
2533,14
2534,4
2535,7
2536,14
2537,2
2538,37
2539,6
2540,2
2541,21
2542,5
2543,20
2544,3
2545,7
2546,3
2547,26
2548,8
2549,4
2550,2
2551,8
2552,2
2553,4
2554,2
2555,6
2556,6
2557,10
2558,11
2559,31
2560,1
2561,15
2562,9
2563,5
2564,8
2565,7
2566,10
2567,8
2568,3
2569,13
2570,9
2571,11
2572,7
2573,4
2574,7
2575,13
2576,4
2577,18
2578,1
2579,1
2580,1
2581,13
2582,7
2583,4
2584,6
2585,3
2586,3
2587,9
2588,12
2589,1
2590,22
2591,15
2592,8
2593,1
2594,11
2595,1
2596,2
2597,16
2598,38
2599,2
2600,1
2601,1
2602,5
2603,7
2604,10
2605,3
2606,18
2607,11
2608,1
2609,5
2610,8
2611,6
2612,1
2613,25
2614,31
2615,2
2616,2
2617,1
2618,1
2619,21
2620,2
2621,4
2622,14
2623,5
2624,1
2625,31
2626,1
2627,1
2628,3
2629,4
2630,6
2631,10
2632,9
2633,7
2634,5
2635,10
2636,3
2637,9
2638,3
2639,3
2640,12
2641,13
2642,9
2643,13
2644,10
2645,6
2646,3
2647,2
2648,14
2649,10
2650,1
2651,5
2652,1
2653,4
2654,8
2655,7
2656,9
2657,1
2658,17
2659,19
2660,6
2661,16
2662,9
2663,8
2664,2
2665,3
2666,15
2667,6
2668,8
2669,3
2670,4
2671,2
2672,1
2673,4
2674,3
2675,8
2676,8
2677,3
2678,1
2679,8
2680,2
2681,3
2682,1
2683,5
2684,8
2685,16
2686,3
2687,4
2688,1
2689,1
2690,8
2691,14
2692,4
2693,33
2694,5
2695,13
2696,34
2697,5
2698,6
2699,1
2700,13
2701,7
2702,18
2703,2
2704,14
2705,27
2706,17
2707,6
2708,20
2709,5
2710,1
2711,21
2712,11
2713,5
2714,7
2715,4
2716,4
2717,9
2718,1
2719,17
2720,23
2721,34
2722,5
2723,11
2724,10
2725,3
2726,28
2727,2
2728,4
2729,2
2730,4
2731,6
2732,1
2733,2
2734,5
2735,8
2736,6
2737,14
2738,6
2739,1
2740,2
2741,14
2742,16
2743,8
2744,6
2745,4
2746,4
2747,1
2748,4
2749,8
2750,18
2751,9
2752,5
2753,5
2754,1
2755,8
2756,4
2757,4
2758,2
2759,3
2760,2
2761,5
2762,1
2763,11
2764,12
2765,6
2766,6
2767,8
2768,9
2769,16
2770,1
2771,11
2772,11
2773,1
2774,1
2775,17
2776,12
2777,3
2778,19
2779,4
2780,1
2781,3
2782,6
2783,20
