sample,two_theta,intensity
InMnPdOx_pre,19.58,5.156
InMnPdOx_pre,19.59,5.143
InMnPdOx_pre,19.6,5.183
InMnPdOx_pre,19.61,5.246
InMnPdOx_pre,19.62,5.231
InMnPdOx_pre,19.63,5.2
InMnPdOx_pre,19.64,5.116
InMnPdOx_pre,19.65,5.092
InMnPdOx_pre,19.66,5.134
InMnPdOx_pre,19.67,5.128
InMnPdOx_pre,19.68,5.169
InMnPdOx_pre,19.69,5.311
InMnPdOx_pre,19.7,5.236
InMnPdOx_pre,19.71,5.025
InMnPdOx_pre,19.72,4.993
InMnPdOx_pre,19.73,5.167
InMnPdOx_pre,19.74,5.316
InMnPdOx_pre,19.75,5.235
InMnPdOx_pre,19.76,5.287
InMnPdOx_pre,19.77,5.281
InMnPdOx_pre,19.78,5.199
InMnPdOx_pre,19.79,5.196
InMnPdOx_pre,19.8,5.353
InMnPdOx_pre,19.81,5.372
InMnPdOx_pre,19.82,5.234
InMnPdOx_pre,19.83,5.094
InMnPdOx_pre,19.84,5.156
InMnPdOx_pre,19.85,5.237
InMnPdOx_pre,19.86,5.262
InMnPdOx_pre,19.87,5.225
InMnPdOx_pre,19.88,5.225
InMnPdOx_pre,19.89,5.149
InMnPdOx_pre,19.9,5.178
InMnPdOx_pre,19.91,5.273
InMnPdOx_pre,19.92,5.23
InMnPdOx_pre,19.93,5.089
InMnPdOx_pre,19.94,5.038
InMnPdOx_pre,19.95,5.044
InMnPdOx_pre,19.96,5.039
InMnPdOx_pre,19.97,5.085
InMnPdOx_pre,19.98,5.073
InMnPdOx_pre,19.99,4.979
InMnPdOx_pre,20.0,5.011
InMnPdOx_pre,20.01,5.234
InMnPdOx_pre,20.02,5.476
InMnPdOx_pre,20.03,5.591
InMnPdOx_pre,20.04,5.34
InMnPdOx_pre,20.05,5.11
InMnPdOx_pre,20.06,4.988
InMnPdOx_pre,20.07,4.942
InMnPdOx_pre,20.08,4.95
InMnPdOx_pre,20.09,4.942
InMnPdOx_pre,20.1,4.952
InMnPdOx_pre,20.11,5.017
InMnPdOx_pre,20.12,5.172
InMnPdOx_pre,20.13,5.21
InMnPdOx_pre,20.14,5.089
InMnPdOx_pre,20.15,5.18
InMnPdOx_pre,20.16,5.151
InMnPdOx_pre,20.17,5.174
InMnPdOx_pre,20.18,5.124
InMnPdOx_pre,20.19,5.202
InMnPdOx_pre,20.2,5.119
InMnPdOx_pre,20.21,5.093
InMnPdOx_pre,20.22,5.114
InMnPdOx_pre,20.23,5.195
InMnPdOx_pre,20.24,5.126
